Order,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2,0.005990898,0.418106959,0.011548702,0.008276334,0.266052498,0.034943843,0.034943843,0.004056653,0.054882791,0.005393617,0.027807452,0.02931969,0.041554532,0.012618379,0.042013144,0.024217253,0.006154384,0.006699302,69.79036515,1.927708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,0.067773211,0.943072301,0.007124705,0.005347267,0.447353676,2.068845084,2.068845084,0.008190934,1.437486129,0.026216085,0.03149226,0.055236026,0.427187928,0.012666387,0.079402753,0.078312821,0.005375398,0.005495422,13.91511907,0.105125682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2,0.008943555,0.093421805,0.021274585,0.007986771,0.196086288,0.043600396,0.04335147,0.004056653,0.019112471,0.009100084,0.028785739,0.024689571,0.057344804,0.012642068,0.03316096,0.025130073,0.006256322,0.006258659,10.44571258,2.378761577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,0.005195779,2.798023606,0.094328808,0.009037646,0.048616528,0.036081519,0.036081519,0.006904467,1.17630002,0.008397044,0.053976843,0.074329832,0.149033772,0.012592192,0.067808392,0.035819928,0.006572262,0.005625876,538.5185948,18.15489227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,0.089890469,1.54352533,0.00759702,0.006433355,0.905497048,0.826164752,0.82571284,0.071742748,1.357031005,0.075167342,0.029157544,0.272860551,0.836881545,0.01272091,0.267277135,0.093447773,0.00552174,0.006824465,17.17117896,0.084514188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,0.021542228,2.494415979,0.02885913,0.011993136,0.402389138,0.027152691,0.027152691,0.024114536,0.348404377,0.021225636,0.033103989,0.074928792,0.274829688,0.013528361,0.058721976,0.03376149,0.007356422,0.005906404,115.7919218,1.339653911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2,0.059751446,0.710697133,0.061862854,0.021154783,0.408657253,0.090921473,0.090921473,0.005295567,0.434596047,0.057666402,0.041519948,0.039869116,0.411544794,0.013753992,0.122230057,0.045176065,0.009826925,0.006789268,11.89422484,1.035336517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,0.024680664,0.071072491,0.012344849,0.00962678,0.20960183,0.088048307,0.088048307,0.004056653,0.061657585,0.014629326,0.028189593,0.086497712,0.123488182,0.01255887,0.111413948,0.0380308,0.006651792,0.005731477,2.879683099,0.500183018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,0.019367405,0.146823941,0.005968425,0.005347267,0.301663387,0.132733578,0.132733578,0.00410015,0.137074986,0.02000928,0.028769481,0.01912336,0.17268426,0.013280856,0.024926338,0.024498663,0.005441766,0.005422866,7.580981603,0.308168544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,0.012146352,0.199525185,0.00729558,0.005815121,0.760584487,0.220011987,0.220011987,0.005051068,0.177722968,0.011857318,0.029130285,0.028482582,0.238297046,0.01426417,0.145803662,0.069048866,0.005567279,0.005640617,16.42675801,0.600639599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
